person_id,image_count
1,842
10,1510
100,2828
101,6473
103,7356
104,4602
105,6863
107,6707
108,3582
109,5706
11,1083
110,4818
111,5998
112,4311
118,6223
119,5061
12,1031
120,2532
121,6011
122,6296
123,4751
124,4804
125,4289
126,6310
127,4560
128,4873
129,20183
13,2671
130,5740
131,5508
132,5296
133,3315
134,3743
135,5306
136,4266
137,5810
138,4869
139,2752
14,1882
140,4294
141,4046
142,1666
143,2622
144,236
145,5150
146,3443
147,5145
148,3777
149,4745
15,1548
150,4230
151,2132
152,1141
153,598
154,4532
155,7273
156,6518
157,4816
158,6274
159,4934
16,1780
160,3555
161,3221
162,3308
163,5220
164,3136
165,4669
166,3541
167,6942
168,5608
169,3406
17,1168
170,4288
171,4052
172,3785
173,3489
174,4012
175,5620
176,7182
177,6529
178,7583
179,2594
18,1175
180,5833
181,3025
182,3693
183,4031
184,5737
185,5077
186,5114
187,1852
188,5066
189,4608
19,1323
190,5191
191,3502
192,6610
193,7308
194,7449
195,4146
196,4919
197,4795
198,6793
199,4924
2,876
20,481
200,4500
201,4653
202,300
203,1824
204,2161
205,553
206,1166
207,1685
208,704
209,477
21,892
210,2461
211,1858
212,574
213,1894
214,356
215,2181
216,1531
217,1146
218,1119
219,934
22,846
220,602
221,2026
222,1197
223,1173
224,870
225,1898
226,1640
227,1261
228,4952
229,1655
23,790
230,5095
231,518
232,2334
233,1456
234,3979
235,5391
236,1690
237,4706
238,1965
239,5235
24,113
240,2463
241,3528
242,5146
243,4559
244,4055
245,3505
246,4260
247,2283
248,1832
249,3125
25,216
250,3683
251,4477
252,4017
253,3568
254,2068
255,2788
256,3877
257,3504
258,3505
259,3166
26,17
260,2460
261,3674
262,2687
263,3536
264,4110
265,3463
266,4357
267,3747
268,2999
269,3233
27,92
270,3633
271,4883
272,4162
273,3088
274,3833
28,848
29,41
3,1600
30,231
31,34
32,65
33,642
34,698
35,41
36,147
37,113
38,175
39,143
4,1514
40,116
41,25
42,1503
43,779
44,1062
45,1011
46,836
47,1372
48,530
49,654
5,1518
50,849
51,608
52,1334
53,430
54,862
55,735
56,1248
57,1100
58,730
59,1563
6,1737
60,1331
61,1693
62,1441
63,1172
64,1438
65,1412
66,1255
67,1248
68,1521
69,1433
7,1627
70,1049
71,1572
72,1644
73,516
74,265
75,297
76,415
77,412
78,337
79,542
8,1417
80,470
81,497
82,441
83,553
84,334
85,278
86,516
87,378
88,444
89,405
9,903
90,239
91,543
93,395
94,418
